#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        98   -3.3791677612e-01    2.7338811061e-01   -1.1073255394e+00    7.6940876331e-01   -1.1073255394e+00    1.2800000000e+02    6.0567202150e-05    1.0000000000e+00
        99   -3.3367199864e-01    2.7580541099e-01   -1.1121152896e+00    7.7844329100e-01   -1.1121152896e+00    1.2800000000e+02    6.0774160154e-05    1.0000000000e+00
       100   -3.3260106356e-01    2.7546287445e-01   -1.1152536718e+00    7.8265260826e-01   -1.1152536718e+00    1.2800000000e+02    6.0271064457e-05    1.0000000000e+00
       101   -3.3686424675e-01    2.8139148132e-01   -1.1182828018e+00    7.8141855504e-01   -1.1182828018e+00    1.2800000000e+02    6.0558842764e-05    1.0000000000e+00
       102   -3.4165692025e-01    2.8301117270e-01   -1.1194912235e+00    7.7783430325e-01   -1.1194912235e+00    1.2800000000e+02    5.9993090810e-05    1.0000000000e+00
       103   -3.4839854385e-01    2.8470989333e-01   -1.1261212386e+00    7.7772269472e-01   -1.1261212386e+00    1.2800000000e+02    6.0425522458e-05    1.0000000000e+00
       104   -3.5111911182e-01    2.9274134789e-01   -1.1277148946e+00    7.7659578274e-01   -1.1277148946e+00    1.2800000000e+02    6.0251245129e-05    1.0000000000e+00
       105   -3.5627851242e-01    2.9719725900e-01   -1.1186625756e+00    7.6238406322e-01   -1.1186625756e+00    1.2800000000e+02    6.0121821297e-05    1.0000000000e+00
       106   -3.5870683553e-01    2.9277333874e-01   -1.1253799144e+00    7.6667307882e-01   -1.1253799144e+00    1.2800000000e+02    6.0424067382e-05    1.0000000000e+00
       107   -3.6507334934e-01    2.9922641838e-01   -1.1324289692e+00    7.6735561990e-01   -1.1324289692e+00    1.2800000000e+02    6.0220009756e-05    1.0000000000e+00
       108   -3.7251153453e-01    3.1396232306e-01   -1.1384503167e+00    7.6593878221e-01   -1.1384503167e+00    1.2800000000e+02    6.0237368164e-05    1.0000000000e+00
       109   -3.6727744060e-01    2.9481384913e-01   -1.1315650178e+00    7.6428757721e-01   -1.1315650178e+00    1.2800000000e+02    6.0147333979e-05    1.0000000000e+00
       110   -3.6336211453e-01    2.8754966944e-01   -1.1277355847e+00    7.6437347014e-01   -1.1277355847e+00    1.2800000000e+02    6.0518374026e-05    1.0000000000e+00
       111   -3.6945794334e-01    3.0322662268e-01   -1.1344787754e+00    7.6502083202e-01   -1.1344787754e+00    1.2800000000e+02    6.0256396482e-05    1.0000000000e+00
       112   -3.8135188570e-01    3.5695914922e-01   -1.1546933246e+00    7.7334143894e-01   -1.1546933246e+00    1.2800000000e+02    5.9961035168e-05    1.0000000000e+00
