#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        95   -4.6887207433e-01    5.8044196365e-01   -1.0794398479e+00    6.1056777355e-01   -1.0794398479e+00    1.2800000000e+04    5.5287361084e-03    1.0000000000e+00
        96   -4.5744402459e-01    4.0778479545e-01   -1.0844328581e+00    6.2698883355e-01   -1.0844328581e+00    1.2800000000e+04    5.5267518311e-03    1.0000000000e+00
        97   -4.9172381749e-01    5.4308590242e-01   -1.1494267116e+00    6.5770289414e-01   -1.1494267116e+00    1.2800000000e+04    5.5192279053e-03    9.9992187500e-01
        98   -4.6608302381e-01    6.0592079138e-01   -1.1248906109e+00    6.5880758712e-01   -1.1248906109e+00    1.2800000000e+04    5.5275947119e-03    1.0000000000e+00
        99   -4.3607260940e-01    3.6733459160e-01   -1.0772414603e+00    6.4116885093e-01   -1.0772414603e+00    1.2800000000e+04    5.4991313867e-03    1.0000000000e+00
       100   -4.3250469854e-01    3.6430429355e-01   -1.0680322756e+00    6.3552757711e-01   -1.0680322756e+00    1.2800000000e+04    5.5156106885e-03    1.0000000000e+00
       101   -4.6143367694e-01    9.1406086238e-01   -1.1353573800e+00    6.7392370303e-01   -1.1353573800e+00    1.2800000000e+04    5.5204236328e-03    9.9992187500e-01
       102   -4.5675100460e-01    5.1462504324e-01   -1.1563899852e+00    6.9963898062e-01   -1.1563899852e+00    1.2800000000e+04    5.5216728760e-03    9.9992187500e-01
       103   -4.3398665200e-01    3.6426372792e-01   -1.0740278604e+00    6.4004120840e-01   -1.0740278604e+00    1.2800000000e+04    5.5209353857e-03    1.0000000000e+00
       104   -4.3083529485e-01    4.0467467026e-01   -1.1209466898e+00    6.9011139492e-01   -1.1209466898e+00    1.2800000000e+04    5.5059652588e-03    9.9992187500e-01
       105   -4.7933988270e-01    1.0958388122e+00   -1.2398103207e+00    7.6047043804e-01   -1.2398103207e+00    1.2800000000e+04    5.5200397021e-03    1.0000000000e+00
       106   -4.9869566082e-01    1.2274046160e+00   -1.3750378100e+00    8.7634214918e-01   -1.3750378100e+00    1.2800000000e+04    5.5228254199e-03    1.0000000000e+00
       107   -4.3880256757e-01    5.1217634358e-01   -1.2792498727e+00    8.4044730509e-01   -1.2792498727e+00    1.2800000000e+04    5.5260037842e-03    9.9992187500e-01
       108   -4.9170137355e-01    1.0565583506e+00   -1.3188536789e+00    8.2715230530e-01   -1.3188536789e+00    1.2800000000e+04    5.5196080273e-03    1.0000000000e+00
       109   -4.1954170270e-01    8.5216366600e-01   -1.2620666625e+00    8.4252495975e-01   -1.2620666625e+00    1.2800000000e+04    5.5047951367e-03    1.0000000000e+00
       110   -4.3162798966e-01    5.0094819248e-01   -1.2115873645e+00    7.7995937483e-01   -1.2115873645e+00    1.2800000000e+04    5.5269088086e-03    9.9992187500e-01
       111   -5.0559004126e-01    1.2018222489e+00   -1.2678924239e+00    7.6230238269e-01   -1.2678924239e+00    1.2800000000e+04    5.5176986035e-03    1.0000000000e+00
       112   -4.2736136336e-01    4.3822810380e-01   -1.1844097561e+00    7.5704839275e-01   -1.1844097561e+00    1.2800000000e+04    5.5200641748e-03    1.0000000000e+00
       113   -4.5903164031e-01    4.8509805024e-01   -1.2065729300e+00    7.4754128968e-01   -1.2065729300e+00    1.2800000000e+04    5.5205853613e-03    9.9992187500e-01
       114   -5.4963191600e-01    9.5616124469e-01   -1.2281491292e+00    6.7851721322e-01   -1.2281491292e+00    1.2800000000e+04    5.5047792969e-03    1.0000000000e+00
       115   -4.8890787835e-01    5.4713395467e-01   -1.1982061865e+00    7.0929830818e-01   -1.1982061865e+00    1.2800000000e+04    5.5165455420e-03    1.0000000000e+00
       116   -4.6970297551e-01    9.5336675554e-01   -1.2004291181e+00    7.3072614262e-01   -1.2004291181e+00    1.2800000000e+04    5.5227268018e-03    1.0000000000e+00
       117   -5.2041038823e-01    9.5956881352e-01   -1.2430906809e+00    7.2268029264e-01   -1.2430906809e+00    1.2800000000e+04    5.5202368848e-03    1.0000000000e+00
       118   -4.7000757219e-01    7.1115041434e-01   -1.2391254480e+00    7.6911787577e-01   -1.2391254480e+00    1.2800000000e+04    5.5233978467e-03    1.0000000000e+00
       119   -4.1872283454e-01    4.4631053701e-01   -1.1201743665e+00    7.0145153195e-01   -1.1201743665e+00    1.2800000000e+04    5.5036917822e-03    1.0000000000e+00
       120   -3.8755721977e-01    3.6100350607e-01   -1.1080375745e+00    7.2048035476e-01   -1.1080375745e+00    1.2800000000e+04    5.5239973633e-03    9.9992187500e-01
       121   -4.8104792809e-01    6.2615273117e-01   -1.1307582523e+00    6.4971032424e-01   -1.1307582523e+00    1.2800000000e+04    5.5225795850e-03    1.0000000000e+00
       122   -5.0596970620e-01    7.3031424306e-01   -1.1542025372e+00    6.4823283097e-01   -1.1542025372e+00    1.2800000000e+04    5.5183014893e-03    1.0000000000e+00
       123   -5.0636376483e-01    6.6872482977e-01   -1.1790001107e+00    6.7263634584e-01   -1.1790001107e+00    1.2800000000e+04    5.5258711621e-03    1.0000000000e+00
       124   -4.5537152720e-01    4.9892263052e-01   -1.1766890302e+00    7.2131750296e-01   -1.1766890302e+00    1.2800000000e+04    5.5003155615e-03    1.0000000000e+00
       125   -5.0624367527e-01    1.5696743148e+00   -1.2712678671e+00    7.6502419182e-01   -1.2712678671e+00    1.2800000000e+04    5.5189162256e-03    1.0000000000e+00
       126   -4.5912383790e-01    5.8150832317e-01   -1.1716072183e+00    7.1248338042e-01   -1.1716072183e+00    1.2800000000e+04    5.5210764307e-03    1.0000000000e+00
